"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2008-01-01,165812
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2009-01-01,149059
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2010-01-01,81973
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2011-01-01,115832.71
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2012-01-01,141200.35
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2013-01-01,164462
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2014-01-01,123609.24
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2015-01-01,60673
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2016-01-01,88191
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2017-01-01,89552
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2018-01-01,41381
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2019-01-01,19627
13,"Vitivinicultura",162,"Mosto","Elaboración","hl","INV","Anual","Nacional","PROVINCIA","46","LA RIOJA",2020-01-01,62429
